Current Distance,,dis_0,dis_0,dis_0,dis_0,dis_1,dis_1,dis_1,dis_1,dis_2,dis_2,dis_2,dis_2,dis_3,dis_3,dis_3,dis_3,dis_4,dis_4,dis_out,dis_out,dis_out,dis_out,dis_out,dis_out,dis_out
Current Colour,,white,yellow,brown,lilas,yellow,blue,brown,lilas,blue,red,brown,lilas,red,black,brown,lilas,black,brown,white,yellow,blue,red,black,brown,lilas
Previous State,Action,,,,,,,,,,,,,,,,,,,,,,,,,
"('dis_4', 'black')",forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.999999999902,9999.999999999902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('dis_4', 'black')",right,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.999999999902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('dis_4', 'brown')",forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.999999999902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('dis_out', 'white')",forward,0.0,8373.21075223501,8305.80697470872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8239.216370036214,0.0,0.0,0.0,0.0,228.74293505238185,0.0
"('dis_out', 'white')",right,5.864719438221632e-29,0.0,8418.999642677274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('dis_out', 'yellow')",forward,0.0,0.0,0.0,0.0,8752.9678397183,0.0,8792.135158569545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8839.392053281113,0.0,0.0,0.0,8928.678841698094,0.0
"('dis_out', 'yellow')",right,0.0,0.0,0.0,0.0,8658.840434605512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('dis_out', 'yellow')",left,0.0,0.0,0.0,0.0,8474.549509956862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('dis_out', 'blue')",forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9144.668943002884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9023.152795187292,9513.465374025584,0.0,0.0,0.0
"('dis_out', 'blue')",left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8693.60457860876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8870.39081836477,0.0,0.0,0.0,0.0
"('dis_out', 'red')",forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9613.60138790463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('dis_out', 'black')",forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.999999999902,0.0,0.0,0.0,0.0,0.0,9994.999999999902,0.0,0.0
"('dis_out', 'black')",right,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9895.049999999903,0.0,0.0
"('dis_out', 'black')",left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0299,0.0,0.0
"('dis_out', 'brown')",forward,0.0,0.0,232.06357075998167,0.0,0.0,8930.718541698092,8829.392053281113,0.0,0.0,0.0,192.96564064574733,0.0,0.0,0.0,271.6710079163509,0.0,0.0,0.0,0.0,8564.738754006199,0.0,0.0,0.0,9018.867516866761,0.0
"('dis_out', 'brown')",right,0.0,0.0,0.0,0.0,0.0,0.0,211.19865180294664,0.0,0.0,0.0,191.03598423928986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8782.847527121332,0.0
"('dis_out', 'brown')",left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8570.252030259457,0.0,0.0,0.0,0.0,0.0
"('dis_out', 'lilas')",forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8750.998132748302,0.0,0.0,0.0,0.0,0.0
